CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02051600;LE NEUNE À LAVELINE-DEVANT-BRUYERE;;979407;6793847;26;RGF93 / Lambert 93;88262;Laveline-devant-Bruyères;88;Vosges;44;Grand Est;CR230;;;;;;;;A4330300;A4330300;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2023-02-17;;LE NEUNE À LAVELINE-DEVANT-BRUYERE;0;Nature de la station inconnue;445;;;;93.64
02051820;LE BARBA À DOCELLES;;970561;6788305;26;RGF93 / Lambert 93;88135;Docelles;88;Vosges;44;Grand Est;CR232;;;;;;;;A4350300;A4350300;;2;Station qualité située sur un cours d'eau;;2008-01-01;;2023-06-28;;LE BARBA À DOCELLES;0;Nature de la station inconnue;393;;;;
02052000;LA VOLOGNE À JARMENIL;;965675;6785434;26;RGF93 / Lambert 93;88250;Jarménil;88;Vosges;44;Grand Est;CR229;;;;;;;;A4360200;A43-0200;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-03-16;;LA VOLOGNE À JARMENIL;0;Nature de la station inconnue;356;;;;367.45
02052500;LA MOSELLE À ARCHETTES;;961477;6786670;26;RGF93 / Lambert 93;88012;Archettes;88;Vosges;44;Grand Est;CR210;;;;;;;;A4410060;A---0060;;2;Station qualité située sur un cours d'eau;;1989-01-01;;2022-11-22;Contrôle de surveillance DCE;LA MOSELLE À ARCHETTES;0;Nature de la station inconnue;340;;;;1127.64
02054900;LE RUISSEAU DU GRAND BIEF À CHAMAGNE;;942266;6818286;26;RGF93 / Lambert 93;88084;Chamagne;88;Vosges;44;Grand Est;CR720;;;;;;;;A4730560;A4730560;;2;Station qualité située sur un cours d'eau;Risque d'assec estival (août ?);2008-01-01;2025-12-31;2023-09-25;;LE RUISSEAU DU GRAND BIEF À CHAMAGNE;0;Nature de la station inconnue;257;;;;
02055100;LE RUISSEAU DE LA VARROIE À CHAMAGNE;;943598;6818255;26;RGF93 / Lambert 93;88084;Chamagne;88;Vosges;44;Grand Est;CR721;;;;;;;;A4730610;A4730610;;2;Station qualité située sur un cours d'eau;;2009-01-01;2025-12-31;2023-01-17;;LE RUISSEAU DE LA VARROIE À CHAMAGNE;0;Nature de la station inconnue;266;5.9;;;
02057130;L'EAU DE LA VILLE À BAINVILLE-AUX-SAULES;;932523;6794122;26;RGF93 / Lambert 93;88030;Bainville-aux-Saules;88;Vosges;44;Grand Est;CR255;;;;;;;;A5230310;A5230310;;2;Station qualité située sur un cours d'eau;;2014-01-01;2026-12-31;2023-09-15;;L'EAU DE LA VILLE À BAINVILLE-AUX-SAULES;0;Nature de la station inconnue;290;;;;
02057168;LA GITTE À DOMPAIRE (PROCHIMPRÉ);;937639;6798281;26;RGF93 / Lambert 93;88151;Dompaire;88;Vosges;44;Grand Est;CR253;;;;;;;;A5240200;A52-0200;;2;Station qualité située sur un cours d'eau;;2014-01-01;;2020-12-11;;LA GITTE À DOMPAIRE (PROCHIMPRÉ);0;Nature de la station inconnue;283;;;;
02057245;LA SAULE À HYMONT;;933531;6801331;26;RGF93 / Lambert 93;88246;Hymont;88;Vosges;44;Grand Est;CR258;;;;;;;;A5260360;A5260360;;2;Station qualité située sur un cours d'eau;;2014-01-01;2020-12-31;2020-12-11;;LA SAULE À HYMONT;0;Nature de la station inconnue;275;;;;
02057453;LE RUISSEAU DU XOUILLON À GIRCOURT-LES-VIEVILLE;;935680;6809941;26;RGF93 / Lambert 93;88202;Gircourt-lès-Viéville;88;Vosges;44;Grand Est;CR261;;;;;;;;A5290340;A5290340;;2;Station qualité située sur un cours d'eau;;2014-01-01;2020-12-31;2020-12-11;;LE RUISSEAU DU XOUILLON À GIRCOURT-LES-VIEVILLE;0;Nature de la station inconnue;263;;;;
02057480;LE BEAULONG À MARAINVILLE-SUR-MADON;;933864;6815835;26;RGF93 / Lambert 93;88286;Marainville-sur-Madon;88;Vosges;44;Grand Est;CR263;;;;;;;;A5310340;A5310340;;2;Station qualité située sur un cours d'eau;;2008-01-01;;2022-11-22;;LE BEAULONG À MARAINVILLE-SUR-MADON;0;Nature de la station inconnue;258;;;;
02061500;LA MEURTHE À FRAIZE;;995317;6794553;26;RGF93 / Lambert 93;88181;Fraize;88;Vosges;44;Grand Est;CR277;;;;;;;;A6000100;A6--0100;;2;Station qualité située sur un cours d'eau;;1979-01-01;;2023-02-17;;LA MEURTHE À FRAIZE;0;Nature de la station inconnue;470;;;;73.68
02061970;LA PETITE MEURTHE À BAN-SUR-MEURTHE-CLEFCY (CLEFCY);;995795;6792169;26;RGF93 / Lambert 93;88106;Ban-sur-Meurthe-Clefcy;88;Vosges;44;Grand Est;CR277;;;;;;;;A6010300;A6010300;;2;Station qualité située sur un cours d'eau;;2009-01-01;;2023-03-16;;LA PETITE MEURTHE À BAN-SUR-MEURTHE-CLEFCY (CLEFCY);0;Nature de la station inconnue;502;12.5;;;
02063000;LA MEURTHE À GRATIN;;994659;6805444;26;RGF93 / Lambert 93;88413;Saint-Dié-des-Vosges;88;Vosges;44;Grand Est;CR278;;;;;;;;A6050100;A6--0100;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-04-05;;LA MEURTHE À GRATIN;0;Nature de la station inconnue;346;;;;362.96
02064770;LE RABODEAU À MOYENMOUTIER (AMONT);;992008;6816661;26;RGF93 / Lambert 93;88319;Moyenmoutier;88;Vosges;44;Grand Est;CR295;;;;;;;;A6130200;A61-0200;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2023-03-16;Contrôle de surveillance DCE;LE RABODEAU À MOYENMOUTIER (AMONT);0;Nature de la station inconnue;328;;;;113.61
02065090;LA PLAINE À RAON-SUR-PLAINE;;1002814;6831429;26;RGF93 / Lambert 93;88373;Raon-sur-Plaine;88;Vosges;44;Grand Est;CR296;;;;;;;;A6200200;A62-0200;;2;Station qualité située sur un cours d'eau;;2005-01-01;;2023-03-17;;LA PLAINE À RAON-SUR-PLAINE;0;Nature de la station inconnue;438;5;;;19.57
02065280;LA PLAINE À CELLES-SUR-PLAINE (LA SOYE);;992452;6825697;26;RGF93 / Lambert 93;88082;Celles-sur-Plaine;88;Vosges;44;Grand Est;CR296;;;;;;;;A6210200;A62-0200;;2;Station qualité située sur un cours d'eau;;2012-01-01;;2023-02-17;;LA PLAINE À CELLES-SUR-PLAINE (LA SOYE);0;Nature de la station inconnue;321;;;;
02065500;LA PLAINE À RAON-L'ETAPE;;984450;6818997;26;RGF93 / Lambert 93;88372;Raon-l'Étape;88;Vosges;44;Grand Est;CR297;;;;;;;;A6230200;A62-0200;;2;Station qualité située sur un cours d'eau;;1982-01-01;;2018-05-03;;LA PLAINE À RAON-L'ETAPE;0;Nature de la station inconnue;286;;;;127.45
