CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02025200;LE MAERDERGRABEN À EBERSMUNSTER (WILLERHOF);;1036211;6808749;26;RGF93 / Lambert 93;67116;Ebersmunster;67;Bas-Rhin;44;Grand Est;CR121;;;;;;;;A2360692;A2360692;;2;Station qualité située sur un cours d'eau;Risque d'assec estival (juin-août);2008-01-01;2027-12-31;2023-09-25;;LE MAERDERGRABEN À EBERSMUNSTER (WILLERHOF);0;Nature de la station inconnue;165;;;;
02025500;L'ILL À HUTTENHEIM;;1039112;6815946;26;RGF93 / Lambert 93;67216;Huttenheim;67;Bas-Rhin;44;Grand Est;CR21;;;;;;;;A2360030;A---0030;;2;Station qualité située sur un cours d'eau;;1981-01-01;;2023-04-04;;L'ILL À HUTTENHEIM;0;Nature de la station inconnue;160;;;;3238
02025700;LA LUTTER À BENFELD;;1040223;6815417;26;RGF93 / Lambert 93;67216;Huttenheim;67;Bas-Rhin;44;Grand Est;CR702;;;;;;;;A2360870;A2360870;;2;Station qualité située sur un cours d'eau;;2005-01-01;;2021-12-01;;LA LUTTER À BENFELD;0;Nature de la station inconnue;159;;;;
02026200;LA ZEMBS À HILSENHEIM;;1039651;6812047;26;RGF93 / Lambert 93;67196;Hilsenheim;67;Bas-Rhin;44;Grand Est;CR123;;;;;;;;A2400200;A24-0200;;2;Station qualité située sur un cours d'eau;Station devenue RRP en 2018 en remplacement de la station de du BRUNNENWASSER À ILLHAEUSERN (NEULAND) 02021700 décision (Comité de pilotage du 12/10/2017).;2006-01-01;;2023-09-15;;LA ZEMBS À HILSENHEIM;0;Nature de la station inconnue;162;;;;
02026250;LA ZEMBS À HERBSHEIM;;1042913;6815273;26;RGF93 / Lambert 93;67192;Herbsheim;67;Bas-Rhin;44;Grand Est;CR123;;;;;;;;A2420200;A24-0200;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2023-01-05;;LA ZEMBS À HERBSHEIM;0;Nature de la station inconnue;158;;;;
02026500;LA ZEMBS À KRAFFT;;1047610;6823557;26;RGF93 / Lambert 93;67130;Erstein;67;Bas-Rhin;44;Grand Est;CR123;;;;;;;;A2420200;A24-0200;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2019-11-06;;LA ZEMBS À KRAFFT;0;Nature de la station inconnue;151;;;;87.5
02027000;L'ILL À OHNHEIM;;1047403;6831315;26;RGF93 / Lambert 93;67137;Fegersheim;67;Bas-Rhin;44;Grand Est;CR22;;;;;;;;A2430030;A---0030;;2;Station qualité située sur un cours d'eau;;1967-01-01;;2022-04-04;;L'ILL À OHNHEIM;0;Nature de la station inconnue;146;;;;3390.2
02028000;L'ANDLAU À ANDLAU;;1025734;6819590;26;RGF93 / Lambert 93;67010;Andlau;67;Bas-Rhin;44;Grand Est;CR125;;;;;;;;A2510200;A25-0200;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-08-03;;L'ANDLAU À ANDLAU;0;Nature de la station inconnue;266;;;;37.41
02028100;LA KIRNECK À VALFF;;1034930;6822859;26;RGF93 / Lambert 93;67504;Valff;67;Bas-Rhin;44;Grand Est;CR129;;;;;;;;A2520300;A2520300;;2;Station qualité située sur un cours d'eau;;1985-01-01;;2023-02-03;;LA KIRNECK À VALFF;0;Nature de la station inconnue;157;;;;24.4
02028200;L'ANDLAU À SCHAEFFERSHEIM;;1039313;6825679;26;RGF93 / Lambert 93;67438;Schaeffersheim;67;Bas-Rhin;44;Grand Est;CR126;;;;;;;;A2540200;A25-0200;;2;Station qualité située sur un cours d'eau;;2000-01-01;2018-12-31;2023-03-16;;L'ANDLAU À SCHAEFFERSHEIM;0;Nature de la station inconnue;155;;;;167
02028300;LA SCHERNETZ À EPFIG;;1030335;6813582;26;RGF93 / Lambert 93;67125;Epfig;67;Bas-Rhin;44;Grand Est;CR127;;;;;;;;A2550630;A2550630;;2;Station qualité située sur un cours d'eau;;2000-01-01;;2021-12-01;;LA SCHERNETZ À EPFIG;0;Nature de la station inconnue;180;;;;
02028500;LA SCHEER À BOLSENHEIM;;1040772;6823837;26;RGF93 / Lambert 93;67054;Bolsenheim;67;Bas-Rhin;44;Grand Est;CR127;;;;;;;;A2560212;A25-0212;;2;Station qualité située sur un cours d'eau;;1997-01-01;;2023-01-17;;LA SCHEER À BOLSENHEIM;0;Nature de la station inconnue;155;;;;112
02029000;L'ANDLAU À FEGERSHEIM;;1045991;6831515;26;RGF93 / Lambert 93;67137;Fegersheim;67;Bas-Rhin;44;Grand Est;CR126;;;;;;;;A2570200;A25-0200;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-04-04;;L'ANDLAU À FEGERSHEIM;0;Nature de la station inconnue;148;;;;300.8
02029160;L'EHN À BOERSCH;;1023093;6826224;26;RGF93 / Lambert 93;67052;Bœrsch;67;Bas-Rhin;44;Grand Est;CR131;;;;;;;;A2600200;A26-0200;;2;Station qualité située sur un cours d'eau;;2005-01-01;;2021-12-01;;L'EHN À BOERSCH;0;Nature de la station inconnue;395;;;;9.56
02029200;L'EHN À OTTROTT;;1024256;6826723;26;RGF93 / Lambert 93;67368;Ottrott;67;Bas-Rhin;44;Grand Est;CR131;;;;;;;;A2600200;A26-0200;;2;Station qualité située sur un cours d'eau;;2000-01-01;2018-12-31;2019-11-06;;L'EHN À OTTROTT;0;Nature de la station inconnue;336;;;;21.18
02030200;L'EHN À MEISTRATZHEIM;;1036432;6827144;26;RGF93 / Lambert 93;67286;Meistratzheim;67;Bas-Rhin;44;Grand Est;CR132;;;;;;;;A2610200;A26-0200;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";2000-01-01;;2023-04-04;;L'EHN À MEISTRATZHEIM;0;Nature de la station inconnue;155;;;;70.97
02030310;LE ROSENMEER À INNENHEIM;;1037216;6831507;26;RGF93 / Lambert 93;67223;Innenheim;67;Bas-Rhin;44;Grand Est;CR135;;;;;;;;A2620300;A2620300;;2;Station qualité située sur un cours d'eau;;2000-01-01;;2020-05-25;;LE ROSENMEER À INNENHEIM;0;Nature de la station inconnue;155;;;;20.6
02030350;L'EHN À BLAESHEIM;;1040131;6832407;26;RGF93 / Lambert 93;67049;Blaesheim;67;Bas-Rhin;44;Grand Est;CR133;;;;;;;;A2630200;A26-0200;;2;Station qualité située sur un cours d'eau;;2008-01-01;;2023-04-04;;L'EHN À BLAESHEIM;0;Nature de la station inconnue;150;;;;
02030400;LE CANAL DE L'EHN À BLAESHEIM;;1040410;6831284;26;RGF93 / Lambert 93;67049;Blaesheim;67;Bas-Rhin;44;Grand Est;CR111;;;;;;;;A2630332;A2630332;;2;Station qualité située sur un cours d'eau;;2008-01-01;2020-12-31;2016-11-22;;LE CANAL DE L'EHN À BLAESHEIM;0;Nature de la station inconnue;150;;;;
02030450;LE VIEIL ERGELSENBACH À GEISPOLSHEIM;;1044479;6832637;26;RGF93 / Lambert 93;67152;Geispolsheim;67;Bas-Rhin;44;Grand Est;CR136;;;;;;;;A2630742;A2630742;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2022-04-14;;LE VIEIL ERGELSENBACH À GEISPOLSHEIM;0;Nature de la station inconnue;148;;;;
02030500;L'EHN À GEISPOLSHEIM (B);;1045931;6833960;26;RGF93 / Lambert 93;67152;Geispolsheim;67;Bas-Rhin;44;Grand Est;CR134;;;;;;;;A2630200;A26-0200;;2;Station qualité située sur un cours d'eau;;1993-01-01;;2023-04-04;;L'EHN À GEISPOLSHEIM (B);0;Nature de la station inconnue;144;;;;166
02031400;LA BRUCHE À SAINT-BLAISE-LA-ROCHE;;1007343;6819627;26;RGF93 / Lambert 93;67436;Saulxures;67;Bas-Rhin;44;Grand Est;CR88;;;;;;;;A2700110;A2--0110;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2023-03-14;;LA BRUCHE À SAINT-BLAISE-LA-ROCHE;0;Nature de la station inconnue;426;;;;37.96
02031600;LA BRUCHE À WISCHES;;1015655;6831296;26;RGF93 / Lambert 93;67543;Wisches;67;Bas-Rhin;44;Grand Est;CR90;;;;;;;;A2730110;A2--0110;;2;Station qualité située sur un cours d'eau;;1991-01-01;2018-12-31;2020-03-11;;LA BRUCHE À WISCHES;0;Nature de la station inconnue;266;;;;222.81
02031650;LE NETZENBACH À LUTZELHOUSE;;1012262;6832404;26;RGF93 / Lambert 93;67276;Lutzelhouse;67;Bas-Rhin;44;Grand Est;CR141;;;;;;;;A2730530;A2730530;;2;Station qualité située sur un cours d'eau;;2005-01-01;;2023-02-17;;LE NETZENBACH À LUTZELHOUSE;0;Nature de la station inconnue;340;;;;16.36
02031700;LA HASEL À NIEDERHASLACH;;1021206;6833622;26;RGF93 / Lambert 93;67325;Niederhaslach;67;Bas-Rhin;44;Grand Est;CR142;;;;;;;;A2740670;A2740670;;2;Station qualité située sur un cours d'eau;;2007-01-01;2018-12-31;2019-11-06;;LA HASEL À NIEDERHASLACH;0;Nature de la station inconnue;229;;;;38.19
02031800;LA MAGEL À MOLLKIRCH;;1023395;6834252;26;RGF93 / Lambert 93;67299;Mollkirch;67;Bas-Rhin;44;Grand Est;CR143;;;;;;;;A2750380;A2750380;;2;Station qualité située sur un cours d'eau;;2002-01-01;2018-12-31;2019-11-06;;LA MAGEL À MOLLKIRCH;0;Nature de la station inconnue;220;;;;38.95
